action,title,digital_sources,tmdbId,tmdbTitle,tmdbYear,catalogTitle,catalogYear,catalogDigital,reason
MATCH,A Christmas Story,Fandango | Movies Anywhere,850,A Christmas Story,1983,A Christmas Story,1983,,TMDB ID matches existing catalog record.
MATCH,A League of Their Own,Fandango | Movies Anywhere,11287,A League of Their Own,1992,A League of Their Own,1992,,TMDB ID matches existing catalog record.
MATCH,A Star Is Born,Fandango | Movies Anywhere,332562,A Star Is Born,2018,A Star Is Born,2018,,TMDB ID matches existing catalog record.
MATCH,A Very Harold & Kumar Christmas,Fandango | Movies Anywhere,55465,A Very Harold & Kumar Christmas,2011,A Very Harold & Kumar Christmas,2011,,TMDB ID matches existing catalog record.
MATCH,"A-Team, The",Fandango | Movies Anywhere,34544,The A-Team,2010,"A-Team, The",2010,,TMDB ID matches existing catalog record.
MATCH,Abraham Lincoln: Vampire Hunter,Fandango | Movies Anywhere,72331,Abraham Lincoln: Vampire Hunter,2012,Abraham Lincoln: Vampire Hunter,2012,,TMDB ID matches existing catalog record.
MATCH,"Accountant 2, The",Fandango,870028,The Accountant²,2025,"Accountant 2, The",2025,,TMDB ID matches existing catalog record.
MATCH,"Accountant, The",Fandango | Movies Anywhere,302946,The Accountant,2016,"Accountant, The",2016,,TMDB ID matches existing catalog record.
MATCH,Across the Universe,Fandango | Movies Anywhere,4688,Across the Universe,2007,Across the Universe,2007,,TMDB ID matches existing catalog record.
MATCH,"Amazing Spider-Man, The",Fandango | Movies Anywhere,1930,The Amazing Spider-Man,2012,"Amazing Spider-Man, The",2012,,TMDB ID matches existing catalog record.
MATCH,Aquaman,Fandango | Movies Anywhere,297802,Aquaman,2018,Aquaman,2018,,TMDB ID matches existing catalog record.
MATCH,Batman Begins,Fandango | Movies Anywhere,272,Batman Begins,2005,Batman Begins,2005,,TMDB ID matches existing catalog record.
MATCH,Batman v Superman: Dawn of Justice,Fandango | Movies Anywhere | Prime,209112,Batman v Superman: Dawn of Justice,2016,Batman v Superman: Dawn of Justice,2016,,TMDB ID matches existing catalog record.
MATCH,"Batman, The",Fandango | Movies Anywhere,414906,The Batman,2022,"Batman, The",2022,,TMDB ID matches existing catalog record.
MATCH,Baywatch,Fandango,339846,Baywatch,2017,Baywatch,2017,,TMDB ID matches existing catalog record.
MATCH,Beauty and the Beast,Fandango | Movies Anywhere,321612,Beauty and the Beast,2017,Beauty and the Beast,2017,,TMDB ID matches existing catalog record.
MATCH,"Beekeeper, The",Fandango,866398,The Beekeeper,2024,"Beekeeper, The",2024,,TMDB ID matches existing catalog record.
MATCH,Begin Again,Fandango | Movies Anywhere,198277,Begin Again,2014,Begin Again,2014,,TMDB ID matches existing catalog record.
