title	digital	status	existing_match	tmdbId	year	notes
A Christmas Story	Fandango | Movies Anywhere	MATCH_EXISTING	A Christmas Story	850	1983	
A League of Their Own	Fandango | Movies Anywhere	MATCH_EXISTING	A League of Their Own	11287	1992	
A Star Is Born	Fandango | Movies Anywhere	MATCH_EXISTING	A Star Is Born	332562	2018	
A Very Harold & Kumar Christmas	Fandango | Movies Anywhere	MATCH_EXISTING	A Very Harold & Kumar Christmas	55465	2011	Title variant normalized to existing movie record; per your rule, assume same version.
A-Team, The	Fandango | Movies Anywhere	MATCH_EXISTING	A-Team, The	34544	2010	
Abraham Lincoln: Vampire Hunter	Fandango | Movies Anywhere	MATCH_EXISTING	Abraham Lincoln: Vampire Hunter	72331	2012	
Accountant 2, The	Fandango	MATCH_EXISTING	Accountant 2, The	870028	2025	
Accountant, The	Fandango | Movies Anywhere	MATCH_EXISTING	Accountant, The	302946	2016	
Across the Universe	Fandango | Movies Anywhere	MATCH_EXISTING	Across the Universe	4688	2007	
Amazing Spider-Man, The	Fandango | Movies Anywhere	MATCH_EXISTING	Amazing Spider-Man, The	1930	2012	
Aquaman	Fandango | Movies Anywhere	MATCH_EXISTING	Aquaman	297802	2018	
Batman Begins	Fandango | Movies Anywhere	MATCH_EXISTING	Batman Begins	272	2005	
Batman v Superman: Dawn of Justice	Fandango | Movies Anywhere | Prime	MATCH_EXISTING	Batman v Superman: Dawn of Justice	209112	2016	
Batman, The	Fandango | Movies Anywhere	MATCH_EXISTING	Batman, The	414906	2022	
Baywatch	Fandango	MATCH_EXISTING	Baywatch	339846	2017	
Beauty and the Beast	Fandango | Movies Anywhere	MATCH_EXISTING	Beauty and the Beast	321612	2017	
Beekeeper, The	Fandango	MATCH_EXISTING	Beekeeper, The	866398	2024	
Begin Again	Fandango | Movies Anywhere	MATCH_EXISTING	Begin Again	198277	2014	
Best Christmas Pageant Ever, The	Fandango | Movies Anywhere	MATCH_EXISTING	Best Christmas Pageant Ever, The	1206617	2024	
Bodyguard, The	Fandango | Movies Anywhere	MATCH_EXISTING	Bodyguard, The	619	1992	
Bourne Identity, The	Fandango | Movies Anywhere	MATCH_EXISTING	Bourne Identity, The	2501	2002	
Bourne Legacy, The	Fandango | Movies Anywhere	MATCH_EXISTING	Bourne Legacy, The	49040	2012	
Bourne Supremacy, The	Fandango | Movies Anywhere	MATCH_EXISTING	Bourne Supremacy, The	2502	2004	
Bourne Ultimatum, The	Fandango | Movies Anywhere	MATCH_EXISTING	Bourne Ultimatum, The	2503	2007	
Brave	Fandango | Movies Anywhere	MATCH_EXISTING	Brave	62177	2012	
Bullet to the Head	Fandango | Movies Anywhere	MATCH_EXISTING	Bullet to the Head	70074	2012	
Christmas with the Kranks	Fandango | Movies Anywhere	MATCH_EXISTING	Christmas with the Kranks	13673	2004	
Cinderella	Fandango	MATCH_EXISTING	Cinderella	150689	2015	Title variant normalized to existing movie record; per your rule, assume same version.
Creed	Fandango	MATCH_EXISTING	Creed	312221	2015	
Creed II	Fandango	MATCH_EXISTING	Creed II	480530	2018	
Creed III	Fandango	MATCH_EXISTING	Creed III	677179	2023	
Dark Knight Rises, The	Fandango | Movies Anywhere	MATCH_EXISTING	Dark Knight Rises, The	49026	2012	
Dark Knight, The	Fandango | Movies Anywhere	MATCH_EXISTING	Dark Knight, The	155	2008	
Dawn of the Planet of the Apes	Fandango | Movies Anywhere	MATCH_EXISTING	Dawn of the Planet of the Apes	119450	2014	
Deadpool	Fandango | Movies Anywhere	MATCH_EXISTING	Deadpool	293660	2016	
Demolition Man	Fandango | Movies Anywhere	MATCH_EXISTING	Demolition Man	9739	1993	
Devil Wears Prada, The	Fandango | Movies Anywhere	MATCH_EXISTING	Devil Wears Prada, The	350	2006	
Die Hard 5: A Good Day to Die Hard	Fandango | Movies Anywhere	MATCH_EXISTING	Die Hard 5: A Good Day to Die Hard	47964	2013	Title variant normalized to existing movie record; per your rule, assume same version.
Divergent Saga: Allegiant	Fandango	MATCH_EXISTING	Divergent Saga: Allegiant	262504	2016	Title variant normalized to existing movie record; per your rule, assume same version.
Divergent Saga: Insurgent	Fandango	MATCH_EXISTING	Divergent Saga: Insurgent	262500	2015	Title variant normalized to existing movie record; per your rule, assume same version.
Dredd	Fandango | Movies Anywhere	MATCH_EXISTING	Dredd	49049	2012	
Dumb and Dumber To	Fandango | Movies Anywhere	MATCH_EXISTING	Dumb and Dumber To	100042	2014	
Elf	Fandango | Movies Anywhere	MATCH_EXISTING	Elf	10719	2003	
Ender's Game	Fandango	MATCH_EXISTING	Ender's Game	80274	2013	
Expendables 2, The	Fandango | Movies Anywhere	MATCH_EXISTING	Expendables 2, The	76163	2012	Title variant normalized to existing movie record; per your rule, assume same version.
Expendables, The	Fandango | Movies Anywhere	MATCH_EXISTING	Expendables, The	27578	2010	Title variant normalized to existing movie record; per your rule, assume same version.
Fast & Furious: Fast 6	Fandango | Movies Anywhere	MATCH_EXISTING	Fast & Furious: Fast 6	82992	2013	Title variant normalized to existing movie record; per your rule, assume same version.
Field of Dreams	Fandango | Movies Anywhere	MATCH_EXISTING	Field of Dreams	2323	1989	
Final Destination	Fandango | Movies Anywhere	MATCH_EXISTING	Final Destination	9532	2000	
Final Destination 2	Fandango | Movies Anywhere	MATCH_EXISTING	Final Destination 2	9358	2003	
Flash, The	Fandango | Movies Anywhere	MATCH_EXISTING	Flash, The	298618	2023	Title variant normalized to existing movie record; per your rule, assume same version.
Frozen	Fandango | Movies Anywhere	MATCH_EXISTING	Frozen	109445	2013	
G.I. Joe: Retaliation	Fandango	MATCH_EXISTING	G.I. Joe: Retaliation	72559	2013	
Ghostbusters	Fandango | Prime	MATCH_EXISTING	Ghostbusters	620	1984	
Girl with the Dragon Tattoo, The	Fandango | Movies Anywhere	MATCH_EXISTING	Girl with the Dragon Tattoo, The	65754	2011	
Gladiator	Fandango	MATCH_EXISTING	Gladiator	98	2000	
Greatest Showman, The	Fandango | Movies Anywhere	MATCH_EXISTING	Greatest Showman, The	316029	2017	
Grinch, The	Fandango | Movies Anywhere	MATCH_EXISTING	Grinch, The	360920	2018	
Grown Ups 2	Fandango | Movies Anywhere	MATCH_EXISTING	Grown Ups 2	109418	2013	
Grudge Match	Fandango | Movies Anywhere	MATCH_EXISTING	Grudge Match	64807	2013	
Guardians of the Galaxy Vol. 2	Fandango | Movies Anywhere	MATCH_EXISTING	Guardians of the Galaxy Vol. 2	283995	2017	
Harry Potter and the Chamber of Secrets	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Chamber of Secrets	672	2002	
Harry Potter and the Deathly Hallows: Part 1	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Deathly Hallows: Part 1	12444	2010	
Harry Potter and the Deathly Hallows: Part 2	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Deathly Hallows: Part 2	12445	2011	Title variant normalized to existing movie record; per your rule, assume same version.
Harry Potter and the Goblet of Fire	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Goblet of Fire	674	2005	
Harry Potter and the Half-Blood Prince	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Half-Blood Prince	767	2009	Title variant normalized to existing movie record; per your rule, assume same version.
Harry Potter and the Order of the Phoenix	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Order of the Phoenix	675	2007	
Harry Potter and the Prisoner of Azkaban	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Prisoner of Azkaban	673	2004	
Harry Potter and the Sorcerer's Stone	Fandango | Movies Anywhere	MATCH_EXISTING	Harry Potter and the Sorcerer's Stone			
Heat, The	Fandango | Movies Anywhere	MATCH_EXISTING	Heat, The	136795	2013	
Holdovers, The	Fandango | Movies Anywhere	MATCH_EXISTING	Holdovers, The	840430	2023	Title variant normalized to existing movie record; per your rule, assume same version.
Holiday, The	Fandango | Movies Anywhere	MATCH_EXISTING	Holiday, The	1581	2006	
Horrible Bosses	Fandango | Movies Anywhere	MATCH_EXISTING	Horrible Bosses	51540	2011	
How the Grinch Stole Christmas	Fandango | Movies Anywhere	MATCH_EXISTING	How the Grinch Stole Christmas	8871	2000	Digital title/edition normalized into existing movie record.
Hunger Games, The	Fandango | Movies Anywhere	MATCH_EXISTING	Hunger Games, The	70160	2012	
Hunger Games: Catching Fire, The	Fandango	MATCH_EXISTING	Hunger Games: Catching Fire, The	101299	2013	
