title,digital,status,existing_match,source_tmdbId,source_year,notes,tmdbId,tmdbTitle,tmdbOriginalTitle,tmdbYear,tmdbReleaseDate,tmdbOverview,tmdbPosterPath,tmdbBackdropPath,match_type,confidence,review
A Christmas Story,Fandango | Movies Anywhere,MATCH_EXISTING,A Christmas Story,850,1983,,850,A Christmas Story,A Christmas Story,1983,1983-11-18,"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.",/34nSHYqmb7222tiqiuKqKJmZiQa.jpg,/feCcRTZNGUop3LnWBLTToYhd03S.jpg,EXISTING_TMDB_ID,CONFIDENT,
A League of Their Own,Fandango | Movies Anywhere,MATCH_EXISTING,A League of Their Own,11287,1992,,11287,A League of Their Own,A League of Their Own,1992,1992-07-01,"As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey. Competitive sisters Dottie Hinson and Kit Keller spar with each other, scout Ernie Capadino and grumpy has-been coach Jimmy Dugan on their way to fame.",/f9BtX6wYOwJUyfUr4vyeT3COz6m.jpg,/kb2FuXGruaPA6ErjOpcifpCyPyY.jpg,EXISTING_TMDB_ID,CONFIDENT,
A Star Is Born,Fandango | Movies Anywhere,MATCH_EXISTING,A Star Is Born,332562,2018,,332562,A Star Is Born,A Star Is Born,2018,2018-10-03,"Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.",/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,/dDYpjrwh1wNVQk0rEpc9P81wQt4.jpg,EXISTING_TMDB_ID,CONFIDENT,
A Very Harold & Kumar Christmas,Fandango | Movies Anywhere,MATCH_EXISTING,A Very Harold & Kumar Christmas,55465,2011,"Title variant normalized to existing movie record; per your rule, assume same version.",55465,A Very Harold & Kumar Christmas,A Very Harold & Kumar Christmas,2011,2011-11-04,"Six years have elapsed since Guantanamo Bay, leaving Harold and Kumar estranged from one another with very different families, friends and lives. But when Kumar arrives on Harold's doorstep during the holiday season with a mysterious package in hand, he inadvertently burns down Harold's father-in-law's beloved Christmas tree. To fix the problem, Harold and Kumar embark on a mission through New York City to find the perfect Christmas tree, once again stumbling into trouble at every single turn.",/cncxLilRHKayn8VKhzjAMHkbN4f.jpg,/A5VmqOiOXHUqX8QMnXuYJdIOXeD.jpg,EXISTING_TMDB_ID,CONFIDENT,
"A-Team, The",Fandango | Movies Anywhere,MATCH_EXISTING,"A-Team, The",34544,2010,,34544,The A-Team,The A-Team,2010,2010-06-09,"A man who loves when a plan comes together, Col. Hannibal Smith leads a close-knit team of elite operatives and Iraq War veterans. Framed for a crime they didn't commit, Smith and his men, Capt. H.M. ‘Howling Mad’ Murdock , Sgt. Bosco ‘B.A.’ Baracus, and Lt. Templeton ‘Faceman’ Peck, break out and go rogue, using their special talents to clear their names and find the perpetrator. Hot on their trail is Capt. Charissa Sosa, who was once involved with a member of Smith's team and has sworn to capture them, no matter what it takes.",/bkAWEx5g5tvRPjtDQyvIZ7LRxQm.jpg,/puAUfSiVrQO2DPKOobHFjqVcXPt.jpg,EXISTING_TMDB_ID,CONFIDENT,
Abraham Lincoln: Vampire Hunter,Fandango | Movies Anywhere,MATCH_EXISTING,Abraham Lincoln: Vampire Hunter,72331,2012,,72331,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,2012,2012-06-20,"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",/qv8deK0ZmutAuEpejruQKApIy6r.jpg,/ei4bXNp4hBrfUEvWkp7usnQeGQP.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Accountant 2, The",Fandango,MATCH_EXISTING,"Accountant 2, The",870028,2025,,870028,The Accountant²,The Accountant²,2025,2025-04-23,"When an old acquaintance is murdered, Wolff is compelled to solve the case. Realizing more extreme measures are necessary, Wolff recruits his estranged and highly lethal brother, Brax, to help. In partnership with Marybeth Medina, they uncover a deadly conspiracy, becoming targets of a ruthless network of killers who will stop at nothing to keep their secrets buried.",/lUvfTcOZiK0sdcX0WNLPbMyKjGm.jpg,/yBDvgpyynDsbMyK21FoQu1c2wYR.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Accountant, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Accountant, The",302946,2016,,302946,The Accountant,The Accountant,2016,2016-10-13,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",/fceheXB5fC4WrLVuWJ6OZv9FXYr.jpg,/dTGECn8He16tZeBHQTLf6rVydE8.jpg,EXISTING_TMDB_ID,CONFIDENT,
Across the Universe,Fandango | Movies Anywhere,MATCH_EXISTING,Across the Universe,4688,2007,,4688,Across the Universe,Across the Universe,2007,2007-09-14,"When young dockworker Jude leaves Liverpool to find his estranged father in the United States, he is swept up by the waves of change that are re-shaping the nation. Jude falls in love with Lucy, who joins the growing anti-war movement. As the body count in Vietnam rises, political tensions at home spiral out of control and the star-crossed lovers find themselves in a psychedelic world gone mad.",/447c8Te3DXC46rQvDEixKGO4dS6.jpg,/s2mJnlqvRwVo1XpnmuPGvWso7pJ.jpg,EXISTING_TMDB_ID,CONFIDENT,
"Amazing Spider-Man, The",Fandango | Movies Anywhere,MATCH_EXISTING,"Amazing Spider-Man, The",1930,2012,,1930,The Amazing Spider-Man,The Amazing Spider-Man,2012,2012-06-23,A teenage Peter Parker grapples with both high school and amazing super-human crises as his alter-ego Spider-Man.,/jexoNYnPd6vVrmygwF6QZmWPFdu.jpg,/HVcza6tJtWFrLriuh3Ano4Vt46.jpg,EXISTING_TMDB_ID,CONFIDENT,
