title,digital,status,existing_match,source_tmdbId,source_year,tmdbId,tmdbTitle,tmdbYear,match_type,confidence,review
Harry Potter and the Sorcerer's Stone,Fandango | Movies Anywhere,MATCH_EXISTING,Harry Potter and the Sorcerer's Stone,,,671,Harry Potter and the Philosopher's Stone,2001,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
2001: A Space Odyssey,Fandango | Movies Anywhere,NEW_TMDB,,,,62,2001: A Space Odyssey,1968,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
300: Rise of an Empire,Fandango | Movies Anywhere,NEW_TMDB,,,,53182,300: Rise of an Empire,2014,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
A Bad Moms Christmas,Fandango | Movies Anywhere,NEW_TMDB,,,,431530,A Bad Moms Christmas,2017,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
A Clockwork Orange,Fandango | Movies Anywhere,NEW_TMDB,,,,185,A Clockwork Orange,1971,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
A Knight's Tale,Fandango | Movies Anywhere,NEW_TMDB,,,,9476,A Knight's Tale,2001,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
A Merry Friggin' Christmas,Prime,NEW_TMDB,,,,286532,A Merry Friggin' Christmas,2014,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
A Very Nutty Christmas,Prime,NEW_TMDB,,,,550651,A Very Nutty Christmas,2018,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Addams Family Values,Fandango,NEW_TMDB,,,,2758,Addams Family Values,1993,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Aladdin and the King of Thieves,Fandango | Movies Anywhere,NEW_TMDB,,,,11238,Aladdin and the King of Thieves,1996,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Aladdin: The Return of Jafar,Fandango | Movies Anywhere,NEW_TMDB,,,,15969,The Return of Jafar,1994,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Anna,Fandango | Movies Anywhere,NEW_TMDB,,,,484641,Anna,2019,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Annie,Fandango | Movies Anywhere,NEW_TMDB,,,,196867,Annie,2014,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Anyone But You,Fandango | Movies Anywhere,NEW_TMDB,,,,1072790,Anyone but You,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Away From Her,Fandango,NEW_TMDB,,,,1919,Away from Her,2007,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Bad Boys: Ride or Die,Fandango | Movies Anywhere,NEW_TMDB,,,,573435,Bad Boys: Ride or Die,2024,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Bad Santa 2 Unrated,Prime,NEW_TMDB,,,,338964,Bad Santa 2,2016,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Bad Times at The El Royale,Fandango | Movies Anywhere,NEW_TMDB,,,,446021,Bad Times at the El Royale,2018,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Ballerina: From the World of John Wick,Fandango | Movies Anywhere,NEW_TMDB,,,,541671,Ballerina,2025,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
Barbie,Fandango | Movies Anywhere,NEW_TMDB,,,,346698,Barbie,2023,TMDB_SEARCH,REVIEW,TMDB ID was not supplied in the import file; manual confirmation required.
