result,digital_title,digital,tmdbId,existing_title,existing_year,notes
MATCH,A Christmas Story,Fandango | Movies Anywhere,850,A Christmas Story,1983,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,A League of Their Own,Fandango | Movies Anywhere,11287,A League of Their Own,1992,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,A Star Is Born,Fandango | Movies Anywhere,332562,A Star Is Born,2018,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,A Very Harold & Kumar Christmas,Fandango | Movies Anywhere,55465,A Very Harold & Kumar Christmas,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"A-Team, The",Fandango | Movies Anywhere,34544,"A-Team, The",2010,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Abraham Lincoln: Vampire Hunter,Fandango | Movies Anywhere,72331,Abraham Lincoln: Vampire Hunter,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Accountant 2, The",Fandango,870028,"Accountant 2, The",2025,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Accountant, The",Fandango | Movies Anywhere,302946,"Accountant, The",2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Across the Universe,Fandango | Movies Anywhere,4688,Across the Universe,2007,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Amazing Spider-Man, The",Fandango | Movies Anywhere,1930,"Amazing Spider-Man, The",2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Aquaman,Fandango | Movies Anywhere,297802,Aquaman,2018,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Batman Begins,Fandango | Movies Anywhere,272,Batman Begins,2005,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Batman v Superman: Dawn of Justice,Fandango | Movies Anywhere | Prime,209112,Batman v Superman: Dawn of Justice,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Batman, The",Fandango | Movies Anywhere,414906,"Batman, The",2022,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Baywatch,Fandango,339846,Baywatch,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Beauty and the Beast,Fandango | Movies Anywhere,321612,Beauty and the Beast,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Beekeeper, The",Fandango,866398,"Beekeeper, The",2024,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Begin Again,Fandango | Movies Anywhere,198277,Begin Again,2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Best Christmas Pageant Ever, The",Fandango | Movies Anywhere,1206617,"Best Christmas Pageant Ever, The",2024,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Bodyguard, The",Fandango | Movies Anywhere,619,"Bodyguard, The",1992,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Bourne Identity, The",Fandango | Movies Anywhere,2501,"Bourne Identity, The",2002,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Bourne Legacy, The",Fandango | Movies Anywhere,49040,"Bourne Legacy, The",2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Bourne Supremacy, The",Fandango | Movies Anywhere,2502,"Bourne Supremacy, The",2004,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Bourne Ultimatum, The",Fandango | Movies Anywhere,2503,"Bourne Ultimatum, The",2007,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Brave,Fandango | Movies Anywhere,62177,Brave,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Bullet to the Head,Fandango | Movies Anywhere,70074,Bullet to the Head,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Christmas with the Kranks,Fandango | Movies Anywhere,13673,Christmas with the Kranks,2004,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Cinderella,Fandango,150689,Cinderella,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Creed,Fandango,312221,Creed,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Creed II,Fandango,480530,Creed II,2018,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Creed III,Fandango,677179,Creed III,2023,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Dark Knight Rises, The",Fandango | Movies Anywhere,49026,"Dark Knight Rises, The",2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Dark Knight, The",Fandango | Movies Anywhere,155,"Dark Knight, The",2008,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Dawn of the Planet of the Apes,Fandango | Movies Anywhere,119450,Dawn of the Planet of the Apes,2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Deadpool,Fandango | Movies Anywhere,293660,Deadpool,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Demolition Man,Fandango | Movies Anywhere,9739,Demolition Man,1993,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Devil Wears Prada, The",Fandango | Movies Anywhere,350,"Devil Wears Prada, The",2006,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Die Hard 5: A Good Day to Die Hard,Fandango | Movies Anywhere,47964,Die Hard 5: A Good Day to Die Hard,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Divergent Saga: Allegiant,Fandango,262504,Divergent Saga: Allegiant,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Divergent Saga: Insurgent,Fandango,262500,Divergent Saga: Insurgent,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Dredd,Fandango | Movies Anywhere,49049,Dredd,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Dumb and Dumber To,Fandango | Movies Anywhere,100042,Dumb and Dumber To,2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Elf,Fandango | Movies Anywhere,10719,Elf,2003,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Ender's Game,Fandango,80274,Ender's Game,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Expendables 2, The",Fandango | Movies Anywhere,76163,"Expendables 2, The",2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Expendables, The",Fandango | Movies Anywhere,27578,"Expendables, The",2010,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Fast & Furious: Fast 6,Fandango | Movies Anywhere,82992,Fast & Furious: Fast 6,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Field of Dreams,Fandango | Movies Anywhere,2323,Field of Dreams,1989,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Final Destination,Fandango | Movies Anywhere,9532,Final Destination,2000,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Final Destination 2,Fandango | Movies Anywhere,9358,Final Destination 2,2003,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Flash, The",Fandango | Movies Anywhere,298618,"Flash, The",2023,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Frozen,Fandango | Movies Anywhere,109445,Frozen,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,G.I. Joe: Retaliation,Fandango,72559,G.I. Joe: Retaliation,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Ghostbusters,Fandango | Prime,620,Ghostbusters,1984,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Girl with the Dragon Tattoo, The",Fandango | Movies Anywhere,65754,"Girl with the Dragon Tattoo, The",2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Gladiator,Fandango,98,Gladiator,2000,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Greatest Showman, The",Fandango | Movies Anywhere,316029,"Greatest Showman, The",2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Grinch, The",Fandango | Movies Anywhere,360920,"Grinch, The",2018,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Grown Ups 2,Fandango | Movies Anywhere,109418,Grown Ups 2,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Grudge Match,Fandango | Movies Anywhere,64807,Grudge Match,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Guardians of the Galaxy Vol. 2,Fandango | Movies Anywhere,283995,Guardians of the Galaxy Vol. 2,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Harry Potter and the Chamber of Secrets,Fandango | Movies Anywhere,672,Harry Potter and the Chamber of Secrets,2002,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Harry Potter and the Deathly Hallows: Part 1,Fandango | Movies Anywhere,12444,Harry Potter and the Deathly Hallows: Part 1,2010,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Harry Potter and the Deathly Hallows: Part 2,Fandango | Movies Anywhere,12445,Harry Potter and the Deathly Hallows: Part 2,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Harry Potter and the Goblet of Fire,Fandango | Movies Anywhere,674,Harry Potter and the Goblet of Fire,2005,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Harry Potter and the Half-Blood Prince,Fandango | Movies Anywhere,767,Harry Potter and the Half-Blood Prince,2009,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Harry Potter and the Order of the Phoenix,Fandango | Movies Anywhere,675,Harry Potter and the Order of the Phoenix,2007,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Harry Potter and the Prisoner of Azkaban,Fandango | Movies Anywhere,673,Harry Potter and the Prisoner of Azkaban,2004,Matched by TMDB ID. Existing catalog metadata preserved.
REVIEW,Harry Potter and the Sorcerer's Stone,Fandango | Movies Anywhere,,,,No TMDB ID available. Manual review required.
MATCH,"Heat, The",Fandango | Movies Anywhere,136795,"Heat, The",2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Holdovers, The",Fandango | Movies Anywhere,840430,"Holdovers, The",2023,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Holiday, The",Fandango | Movies Anywhere,1581,"Holiday, The",2006,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Horrible Bosses,Fandango | Movies Anywhere,51540,Horrible Bosses,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,How the Grinch Stole Christmas,Fandango | Movies Anywhere,8871,How the Grinch Stole Christmas,2000,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Hunger Games, The",Fandango | Movies Anywhere,70160,"Hunger Games, The",2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Hunger Games: Catching Fire, The",Fandango,101299,"Hunger Games: Catching Fire, The",2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Hunger Games: Mockingjay - Part 1, The",Fandango,131631,"Hunger Games: Mockingjay - Part 1, The",2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Hunger Games: Mockingjay - Part 2, The",Fandango | Movies Anywhere,131634,"Hunger Games: Mockingjay - Part 2, The",2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Ice Age,Fandango | Movies Anywhere,425,Ice Age,2002,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,In Bruges,Fandango | Movies Anywhere,8321,In Bruges,2008,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Inception,Fandango | Movies Anywhere,27205,Inception,2010,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Incredible Burt Wonderstone, The",Fandango | Movies Anywhere | Prime,124459,"Incredible Burt Wonderstone, The",2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Inside Out,Fandango | Movies Anywhere,150540,Inside Out,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Iron Man 3,Fandango | Movies Anywhere,68721,Iron Man 3,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jerry Maguire,Fandango | Movies Anywhere,9390,Jerry Maguire,1996,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jingle All the Way,Fandango | Movies Anywhere,9279,Jingle All the Way,1996,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,John Wick,Fandango | Movies Anywhere,245891,John Wick,2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,John Wick: Chapter 2,Fandango | Movies Anywhere | Prime,324552,John Wick: Chapter 2,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,John Wick: Chapter 3 - Parabellum,Fandango,458156,John Wick: Chapter 3 - Parabellum,2019,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,John Wick: Chapter 4,Fandango,603692,John Wick: Chapter 4,2023,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jumanji: The Next Level,Fandango | Movies Anywhere,512200,Jumanji: The Next Level,2019,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jumanji: Welcome to the Jungle,Fandango | Movies Anywhere,353486,Jumanji: Welcome to the Jungle,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jurassic Park,Fandango | Movies Anywhere,329,Jurassic Park,1993,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jurassic Park III,Fandango | Movies Anywhere,331,Jurassic Park III,2001,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jurassic World,Fandango | Movies Anywhere,135397,Jurassic World,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jurassic World Dominion,Fandango | Movies Anywhere,507086,Jurassic World Dominion,2022,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Jurassic World: Fallen Kingdom,Fandango | Movies Anywhere,351286,Jurassic World: Fallen Kingdom,2018,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Justice League,Fandango | Movies Anywhere,141052,Justice League,2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Kick-Ass,Fandango | Movies Anywhere,23483,Kick-Ass,2010,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Kick-Ass 2,Fandango | Movies Anywhere,59859,Kick-Ass 2,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Kingsman: The Secret Service,Fandango | Movies Anywhere,207703,Kingsman: The Secret Service,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Knight and Day,Fandango | Movies Anywhere,37834,Knight and Day,2010,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Last Holiday,Fandango,17379,Last Holiday,2006,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Legends of the Fall,Fandango | Movies Anywhere,4476,Legends of the Fall,1994,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Lego Batman Movie, The",Fandango | Movies Anywhere,324849,"Lego Batman Movie, The",2017,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Lego Movie 2: The Second Part, The",Fandango | Movies Anywhere,280217,"Lego Movie 2: The Second Part, The",2019,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Lego Movie, The",Fandango | Movies Anywhere,137106,"Lego Movie, The",2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Love Actually,Fandango | Movies Anywhere,508,Love Actually,2003,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Love the Coopers,Fandango | Movies Anywhere,333348,Love the Coopers,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Maggie,Fandango | Movies Anywhere,287424,Maggie,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Major League,Fandango,9942,Major League,1989,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Maleficent,Fandango | Movies Anywhere,102651,Maleficent,2014,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Man of Steel,Fandango | Movies Anywhere,49521,Man of Steel,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Matchstick Men,Fandango | Movies Anywhere,7270,Matchstick Men,2003,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Matrix, The",Fandango | Movies Anywhere,603,"Matrix, The",1999,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Mechanic, The",Fandango | Movies Anywhere,27582,"Mechanic, The",2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Meg 2: The Trench,Fandango | Movies Anywhere,615656,Meg 2: The Trench,2023,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Meg, The",Fandango | Movies Anywhere,345940,"Meg, The",2018,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Mike and Dave Need Wedding Dates,Fandango | Movies Anywhere,316023,Mike and Dave Need Wedding Dates,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Minority Report,Fandango,180,Minority Report,2002,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Mission: Impossible - Ghost Protocol,Fandango,56292,Mission: Impossible - Ghost Protocol,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Moneyball,Fandango | Movies Anywhere,60308,Moneyball,2011,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Monsters, Inc.",Fandango,585,"Monsters, Inc.",2001,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Mortal Kombat,Fandango | Movies Anywhere,460465,Mortal Kombat,2021,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Mr. Right,Fandango | Movies Anywhere,333385,Mr. Right,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Mummy Returns, The",Fandango | Movies Anywhere,1734,"Mummy Returns, The",2001,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Mummy, The",Fandango | Movies Anywhere,564,"Mummy, The",1999,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Mummy: Tomb of the Dragon Emperor, The",Fandango | Movies Anywhere,1735,"Mummy: Tomb of the Dragon Emperor, The",2008,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,National Lampoon's Christmas Vacation,Fandango | Movies Anywhere,5825,National Lampoon's Christmas Vacation,1989,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Natural, The",Fandango | Movies Anywhere,11393,"Natural, The",1984,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Night Before, The",Fandango | Movies Anywhere,38966,"Night Before, The",1988,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Now You See Me,Fandango | Movies Anywhere,75656,Now You See Me,2013,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Now You See Me 2,Fandango | Movies Anywhere,291805,Now You See Me 2,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,"Now You See Me, Now You Don't",Fandango | Movies Anywhere,425274,"Now You See Me, Now You Don't",2025,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Ocean's 8,Fandango | Movies Anywhere,402900,Ocean's 8,2018,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Ocean's Eleven,Fandango | Movies Anywhere | Prime,161,Ocean's Eleven,2001,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Ocean's Thirteen,Fandango | Movies Anywhere,298,Ocean's Thirteen,2007,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Ocean's Twelve,Fandango | Movies Anywhere,163,Ocean's Twelve,2004,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Office Christmas Party,Fandango,384682,Office Christmas Party,2016,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Pan,Fandango | Movies Anywhere,266647,Pan,2015,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Pitch Perfect,Fandango | Movies Anywhere,114150,Pitch Perfect,2012,Matched by TMDB ID. Existing catalog metadata preserved.
MATCH,Pitch Perfect 2,Fandango | Movies Anywhere,254470,Pitch Perfect 2,2015,Matched by TMDB ID. Existing catalog metadata preserved.
