"action","digital_title","digital_provider","tmdbId","tmdbTitle","year","reason"
"UPDATE","A Christmas Story","Fandango | Movies Anywhere","850","A Christmas Story","1983","Digital provider added to existing catalog record ""A Christmas Story""."
"UPDATE","A League of Their Own","Fandango | Movies Anywhere","11287","A League of Their Own","1992","Digital provider added to existing catalog record ""A League of Their Own""."
"UPDATE","A Star Is Born","Fandango | Movies Anywhere","332562","A Star Is Born","2018","Digital provider added to existing catalog record ""A Star Is Born""."
"UPDATE","A Very Harold & Kumar Christmas","Fandango | Movies Anywhere","55465","A Very Harold & Kumar Christmas","2011","Digital provider added to existing catalog record ""A Very Harold & Kumar Christmas""."
"UPDATE","A-Team, The","Fandango | Movies Anywhere","34544","The A-Team","2010","Digital provider added to existing catalog record ""A-Team, The""."
"UPDATE","Abraham Lincoln: Vampire Hunter","Fandango | Movies Anywhere","72331","Abraham Lincoln: Vampire Hunter","2012","Digital provider added to existing catalog record ""Abraham Lincoln: Vampire Hunter""."
"UPDATE","Accountant 2, The","Fandango","870028","The Accountant²","2025","Digital provider added to existing catalog record ""Accountant 2, The""."
"UPDATE","Accountant, The","Fandango | Movies Anywhere","302946","The Accountant","2016","Digital provider added to existing catalog record ""Accountant, The""."
"UPDATE","Across the Universe","Fandango | Movies Anywhere","4688","Across the Universe","2007","Digital provider added to existing catalog record ""Across the Universe""."
"UPDATE","Amazing Spider-Man, The","Fandango | Movies Anywhere","1930","The Amazing Spider-Man","2012","Digital provider added to existing catalog record ""Amazing Spider-Man, The""."
"UPDATE","Aquaman","Fandango | Movies Anywhere","297802","Aquaman","2018","Digital provider added to existing catalog record ""Aquaman""."
"UPDATE","Batman Begins","Fandango | Movies Anywhere","272","Batman Begins","2005","Digital provider added to existing catalog record ""Batman Begins""."
"UPDATE","Batman v Superman: Dawn of Justice","Fandango | Movies Anywhere | Prime","209112","Batman v Superman: Dawn of Justice","2016","Digital provider added to existing catalog record ""Batman v Superman: Dawn of Justice""."
"UPDATE","Batman, The","Fandango | Movies Anywhere","414906","The Batman","2022","Digital provider added to existing catalog record ""Batman, The""."
"UPDATE","Baywatch","Fandango","339846","Baywatch","2017","Digital provider added to existing catalog record ""Baywatch""."
"UPDATE","Beauty and the Beast","Fandango | Movies Anywhere","321612","Beauty and the Beast","2017","Digital provider added to existing catalog record ""Beauty and the Beast""."
"UPDATE","Beekeeper, The","Fandango","866398","The Beekeeper","2024","Digital provider added to existing catalog record ""Beekeeper, The""."
"UPDATE","Begin Again","Fandango | Movies Anywhere","198277","Begin Again","2014","Digital provider added to existing catalog record ""Begin Again""."
"UPDATE","Best Christmas Pageant Ever, The","Fandango | Movies Anywhere","1206617","The Best Christmas Pageant Ever","2024","Digital provider added to existing catalog record ""Best Christmas Pageant Ever, The""."
"UPDATE","Bodyguard, The","Fandango | Movies Anywhere","619","The Bodyguard","1992","Digital provider added to existing catalog record ""Bodyguard, The""."
"UPDATE","Bourne Identity, The","Fandango | Movies Anywhere","2501","The Bourne Identity","2002","Digital provider added to existing catalog record ""Bourne Identity, The""."
"UPDATE","Bourne Legacy, The","Fandango | Movies Anywhere","49040","The Bourne Legacy","2012","Digital provider added to existing catalog record ""Bourne Legacy, The""."
"UPDATE","Bourne Supremacy, The","Fandango | Movies Anywhere","2502","The Bourne Supremacy","2004","Digital provider added to existing catalog record ""Bourne Supremacy, The""."
"UPDATE","Bourne Ultimatum, The","Fandango | Movies Anywhere","2503","The Bourne Ultimatum","2007","Digital provider added to existing catalog record ""Bourne Ultimatum, The""."
"UPDATE","Brave","Fandango | Movies Anywhere","62177","Brave","2012","Digital provider added to existing catalog record ""Brave""."
"UPDATE","Bullet to the Head","Fandango | Movies Anywhere","70074","Bullet to the Head","2012","Digital provider added to existing catalog record ""Bullet to the Head""."
"UPDATE","Christmas with the Kranks","Fandango | Movies Anywhere","13673","Christmas with the Kranks","2004","Digital provider added to existing catalog record ""Christmas with the Kranks""."
"UPDATE","Cinderella","Fandango","150689","Cinderella","2015","Digital provider added to existing catalog record ""Cinderella""."
"UPDATE","Creed","Fandango","312221","Creed","2015","Digital provider added to existing catalog record ""Creed""."
"UPDATE","Creed II","Fandango","480530","Creed II","2018","Digital provider added to existing catalog record ""Creed II""."
"UPDATE","Creed III","Fandango","677179","Creed III","2023","Digital provider added to existing catalog record ""Creed III""."
"UPDATE","Dark Knight Rises, The","Fandango | Movies Anywhere","49026","The Dark Knight Rises","2012","Digital provider added to existing catalog record ""Dark Knight Rises, The""."
"UPDATE","Dark Knight, The","Fandango | Movies Anywhere","155","The Dark Knight","2008","Digital provider added to existing catalog record ""Dark Knight, The""."
"UPDATE","Dawn of the Planet of the Apes","Fandango | Movies Anywhere","119450","Dawn of the Planet of the Apes","2014","Digital provider added to existing catalog record ""Dawn of the Planet of the Apes""."
"UPDATE","Deadpool","Fandango | Movies Anywhere","293660","Deadpool","2016","Digital provider added to existing catalog record ""Deadpool""."
